/home/dantopa/Mathematica_files/nb/confidence-01.nb  Aug 23, 2026
{form number, WBS primitive, overall, assess_a, assess_b, assess_c}
55,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
56,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
57,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
58,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
59,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
60,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,-1
61,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
62,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,0,1,1
63,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
64,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
65,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
66,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,0,1,1
67,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
68,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
69,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,0,1,1
70,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
71,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
72,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
73,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
74,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
75,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
76,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
77,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,-1,1,1
78,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
79,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
80,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,1,0,1
81,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
82,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",1,1,1,1
83,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,1,1,1
84,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.1",-1,1,0,1
85,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",0,-1,-1,-1
86,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",0,-1,-1,-1
87,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
88,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
89,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
90,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
91,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
92,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,1
93,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,1,-1
94,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
95,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,1
96,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
97,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
98,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
99,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
100,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
101,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,1
102,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",0,-1,-1,-1
103,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
104,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
105,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
106,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,1,-1,-1
107,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",0,-1,-1,-1
108,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,0,-1
109,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,1,-1
110,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,0,-1
111,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
112,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,1
113,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
114,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",0,-1,-1,-1
115,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
116,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,0,-1,-1
117,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
118,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,0,-1,-1
119,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
120,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",0,-1,-1,-1
121,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
122,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
123,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,-1,-1,1
124,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
125,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
126,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,1,1,-1
127,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,1,-1
128,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,1,-1
129,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,-1,-1,-1
130,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,-1,-1,-1
131,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,0,-1
132,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,0,0,-1
133,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
134,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,-1,-1,-1
135,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",0,-1,-1,-1
136,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,1,-1
137,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,1
138,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
139,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
140,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
141,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
142,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
143,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
144,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,1
145,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
146,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,0,-1,-1
147,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
148,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
149,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
150,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,0,-1,-1
151,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
152,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
153,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,0,-1,-1
154,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
155,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
156,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
157,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
158,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
159,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
160,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
161,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,1,-1,-1
162,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
163,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
164,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,-1,0,-1
165,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
166,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",-1,-1,-1,-1
167,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,-1,-1,-1
168,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.2",1,-1,0,-1
169,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,0
170,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,0,-1,0
171,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
172,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
173,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,-1
174,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
175,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,-1,1,0
176,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,1
177,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,-1
178,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
179,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
180,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,0
181,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
182,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,1
183,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,1
184,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
185,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,-1,0
186,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,0
187,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
188,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,0
189,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,-1
190,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,1,0
191,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,1
192,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,-1,0,0
193,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,0
194,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,-1,-1,0
195,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,-1
196,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,-1
197,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,-1,0
198,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,1
199,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
200,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,0
201,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
202,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,-1,-1
203,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,1,-1,0
204,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,-1,0
205,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,1,0,0
206,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
207,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,0
208,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,-1,0,-1
209,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
210,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,0,0,1
211,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,0
212,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
213,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,1
214,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,0
215,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
216,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,0,0,0
217,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
218,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,-1,0
219,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
220,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,1,1
221,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,-1
222,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
223,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,0
224,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
225,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
226,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
227,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
228,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
229,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,-1,0
230,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
231,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,0,0,0
232,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,0
233,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,-1
234,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
235,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
236,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,0
237,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
238,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,-1,0
239,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
240,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,1,1,1
241,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
242,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,0
243,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,0
244,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,0
245,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,0
246,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,1,1
247,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,0
248,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
249,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,-1
250,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",1,0,0,0
251,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,-1
252,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
253,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,-1,0,-1
254,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,-1,0
255,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
256,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",-1,0,0,-1
257,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,0
258,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,0
259,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,1,0
260,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,1,0,0
261,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,1
262,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.1.3",0,0,0,-1
263,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,-1,-1
264,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,0,0,1
265,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,-1
266,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,1,0,0
267,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,1
268,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,0,0,0
269,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,1,1
270,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,1
271,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,-1
272,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,1,0,0
273,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,0
274,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,1,1
275,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,0,0,0
276,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,1,0,-1
277,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,0,0,0
278,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,1
279,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,-1,0,0
280,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,-1,0,0
281,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,0
282,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,1
283,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,0,0,1
284,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,-1,0,0
285,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,0
286,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,-1,1,0
287,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,0,0
288,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,1,0,-1
289,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,-1,0,0
290,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,0,0,0
291,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,-1,-1,0
292,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,0,0,1
293,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,0,0,1
294,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,1,-1,0
295,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,1,0,0
296,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,1,0,1
297,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,1,1
298,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,1,1,0
299,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,0,1,0
300,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,0,0,0
301,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",1,1,0,0
302,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,1,1
303,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,0,1,0
304,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,-1,0,-1
305,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,-1,0,1
306,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",-1,0,-1,0
307,"da59807f-bb93-4f35-a22c-09e999b5881d","1.1.2",0,-1,-1,0
