"form_number","run_uuid","wbs_primitive","overall","assess_a","assess_b","assess_c"
63,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
64,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
65,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
66,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,0,1,1
67,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
68,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
69,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,0,1,1
70,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
71,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
72,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
73,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
74,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
75,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
76,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
77,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,-1,1,1
78,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
79,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
80,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,1,0,1
81,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
82,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",1,1,1,1
83,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,1,1,1
84,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.1",-1,1,0,1
85,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",0,-1,-1,-1
86,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",0,-1,-1,-1
87,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
88,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
89,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
90,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
91,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
92,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,1
93,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,1,-1
94,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
95,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,1
96,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
97,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
98,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
99,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
100,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
101,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,1
102,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",0,-1,-1,-1
103,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
104,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
105,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
106,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,1,-1,-1
107,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",0,-1,-1,-1
108,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,0,-1
109,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,1,-1
110,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,0,-1
111,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
112,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,1
113,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
114,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",0,-1,-1,-1
115,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
116,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,0,-1,-1
117,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
118,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,0,-1,-1
119,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
120,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",0,-1,-1,-1
121,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
122,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
123,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,-1,-1,1
124,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
125,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
126,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,1,1,-1
127,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,1,-1
128,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,1,-1
129,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,-1,-1,-1
130,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,-1,-1,-1
131,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,0,-1
132,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,0,0,-1
133,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
134,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,-1,-1,-1
135,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",0,-1,-1,-1
136,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,1,-1
137,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,1
138,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
139,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
140,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
141,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
142,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
143,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
144,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,1
145,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
146,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,0,-1,-1
147,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
148,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
149,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
150,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,0,-1,-1
151,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
152,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
153,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,0,-1,-1
154,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
155,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
156,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
157,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
158,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
159,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
160,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
161,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,1,-1,-1
162,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
163,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
164,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,-1,0,-1
165,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
166,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",-1,-1,-1,-1
167,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,-1,-1,-1
168,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.2",1,-1,0,-1
169,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
170,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
171,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
172,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
173,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
174,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
175,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
176,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
177,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
178,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
179,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
180,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
181,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
182,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
183,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
184,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
185,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
186,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
187,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
188,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
189,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
190,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
191,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
192,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
193,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
194,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
195,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
196,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
197,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
198,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
199,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
200,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
201,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
202,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
203,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
204,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
205,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
206,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
207,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
208,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
209,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
210,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
211,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
212,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
213,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
214,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
215,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
216,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
217,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
218,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
219,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
220,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
221,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
222,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
223,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
224,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
225,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
226,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
227,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
228,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
229,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
230,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
231,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
232,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
233,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
234,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
235,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
236,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
237,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
238,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
239,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
240,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
241,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
242,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
243,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
244,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
245,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
246,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
247,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
248,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
249,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
250,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
251,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
252,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
253,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
254,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
255,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
256,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
257,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
258,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
259,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
260,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
261,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
262,"af764438-c5e1-4bfd-99f3-9478d602928b","1.1.1.3",0,1,0,0
263,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,-1,1,1
264,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",0,1,1,0
265,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",0,1,0,1
266,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,1,-1,1
267,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",0,1,0,-1
268,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",-1,1,1,1
269,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,1,1,0
270,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",-1,1,-1,0
271,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,1,1,1
272,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,0,-1,1
273,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",-1,0,1,1
274,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",0,0,0,1
275,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",0,1,1,1
276,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,1,1,0
277,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,0,0,1
278,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,-1,1,1
279,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,1,0,0
280,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.1",1,0,1,0
281,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,1,-1,-1
282,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",0,-1,-1,0
283,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",0,-1,0,-1
284,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,-1,1,-1
285,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",0,-1,0,1
286,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",1,-1,-1,-1
287,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,-1,-1,0
288,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",1,-1,1,0
289,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,-1,-1,-1
290,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,0,1,-1
291,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",1,0,-1,-1
292,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",0,0,0,-1
293,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",0,-1,-1,-1
294,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,-1,-1,0
295,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,0,0,-1
296,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,1,-1,-1
297,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,-1,0,0
298,"af764438-c5e1-4bfd-99f3-9478d602928b","1.4",-1,0,-1,0
299,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",1,0,0,1
300,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",1,0,0,-1
301,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",1,1,0,0
302,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",0,1,0,-1
303,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",1,1,1,1
304,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",0,1,-1,-1
305,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",-1,0,1,1
306,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",1,-1,1,0
307,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",0,-1,0,-1
308,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",0,1,1,0
309,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",1,1,0,1
310,"af764438-c5e1-4bfd-99f3-9478d602928b","1.2.3",1,0,1,1
